epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,265.153,0.90127,0.53074,1.27725,0.99192,1,0.995,0.85859,0.57342,0.31472,0.93351,0.00159212,0.00159212,0.00159212
105,267.685,0.85016,0.4731,1.2366,0.99201,1,0.995,0.8955,0.62935,0.32657,0.93908,0.00158816,0.00158816,0.00158816
106,270.204,0.83647,0.47794,1.21917,0.99203,1,0.995,0.8955,0.57323,0.35596,0.90399,0.0015842,0.0015842,0.0015842
107,272.734,0.90422,0.50449,1.28367,0.99174,1,0.995,0.8955,0.54923,0.32445,0.89802,0.00158024,0.00158024,0.00158024
108,275.259,0.86782,0.50562,1.27843,0.99163,1,0.995,0.85399,0.62063,0.30759,0.9365,0.00157628,0.00157628,0.00157628
109,277.793,0.86816,0.47751,1.22824,0.99212,1,0.995,0.87882,0.56047,0.30611,0.92993,0.00157232,0.00157232,0.00157232
110,280.441,0.85543,0.49247,1.24185,0.99231,1,0.995,0.85257,0.61193,0.29645,0.94022,0.00156836,0.00156836,0.00156836
111,282.964,0.864,0.4778,1.2457,0.99228,1,0.995,0.87837,0.65449,0.30971,0.96373,0.0015644,0.0015644,0.0015644
112,285.484,0.87602,0.48776,1.23261,0.99208,1,0.995,0.88358,0.65314,0.3008,0.96676,0.00156044,0.00156044,0.00156044
113,287.988,0.86227,0.46011,1.24622,1,1,0.995,0.8863,0.6574,0.28329,0.97392,0.00155648,0.00155648,0.00155648
114,290.521,0.81472,0.45256,1.26451,0.99191,1,0.995,0.88177,0.55195,0.30898,0.92455,0.00155252,0.00155252,0.00155252
115,293.058,0.87213,0.47468,1.26766,0.99189,1,0.995,0.8955,0.61309,0.32749,0.94139,0.00154856,0.00154856,0.00154856
116,295.587,0.8957,0.5006,1.24834,0.99201,1,0.995,0.84699,0.59807,0.29817,0.93716,0.0015446,0.0015446,0.0015446
117,298.127,0.88334,0.47667,1.23931,0.99031,1,0.995,0.88416,0.58149,0.3295,0.94045,0.00154064,0.00154064,0.00154064
118,300.647,0.84936,0.47819,1.24357,0.98676,1,0.995,0.85821,0.65351,0.39264,0.97439,0.00153668,0.00153668,0.00153668
119,303.299,0.84372,0.50116,1.2566,0.9915,1,0.995,0.89113,0.65885,0.34149,0.993,0.00153272,0.00153272,0.00153272
120,305.834,0.88736,0.48604,1.23098,0.99178,1,0.995,0.84245,0.65719,0.32354,0.99491,0.00152876,0.00152876,0.00152876
121,308.369,0.85691,0.48176,1.2424,0.99182,1,0.995,0.85672,0.7279,0.35623,0.99911,0.0015248,0.0015248,0.0015248
122,310.904,0.84552,0.47083,1.22205,0.99112,1,0.995,0.82228,0.6639,0.35199,0.96544,0.00152084,0.00152084,0.00152084
123,313.426,0.91565,0.49699,1.32447,0.9904,1,0.995,0.88045,0.62451,0.30844,0.94557,0.00151688,0.00151688,0.00151688
124,315.959,0.83352,0.46874,1.2161,0.99067,1,0.995,0.83155,0.72042,0.35282,0.98975,0.00151292,0.00151292,0.00151292
125,318.489,0.8665,0.50689,1.26418,0.99044,1,0.995,0.80755,0.76104,0.35038,1.02006,0.00150896,0.00150896,0.00150896
126,321.008,0.83801,0.47267,1.23281,0.99012,1,0.995,0.81275,0.71395,0.35868,1.01257,0.001505,0.001505,0.001505
127,323.55,0.84638,0.45969,1.26791,0.9898,1,0.995,0.82069,0.77342,0.35365,1.03814,0.00150104,0.00150104,0.00150104
128,326.068,0.89118,0.48395,1.27496,0.99096,1,0.995,0.85265,0.59945,0.29178,0.97829,0.00149708,0.00149708,0.00149708
129,328.704,0.81525,0.45116,1.19311,0.99153,1,0.995,0.88177,0.52253,0.27739,0.93447,0.00149312,0.00149312,0.00149312
130,331.221,0.84496,0.45574,1.25433,0.9916,1,0.995,0.88177,0.64396,0.29148,0.96864,0.00148916,0.00148916,0.00148916
131,333.757,0.82122,0.44696,1.22057,0.99165,1,0.995,0.84388,0.63224,0.2944,0.96004,0.0014852,0.0014852,0.0014852
132,336.292,0.90768,0.46195,1.26673,0.99152,1,0.995,0.87311,0.61547,0.27216,0.96153,0.00148124,0.00148124,0.00148124
133,338.828,0.83321,0.45275,1.27912,0.99109,1,0.995,0.8977,0.60183,0.28063,0.95701,0.00147728,0.00147728,0.00147728
134,341.363,0.8393,0.49308,1.26457,0.99069,1,0.995,0.88315,0.57265,0.31905,0.95743,0.00147332,0.00147332,0.00147332
135,343.899,0.82191,0.46743,1.2462,0.99069,1,0.995,0.83619,0.63031,0.32025,0.95323,0.00146936,0.00146936,0.00146936
136,346.435,0.79099,0.45213,1.19218,0.99017,1,0.995,0.89993,0.67258,0.32487,0.98537,0.0014654,0.0014654,0.0014654
137,348.969,0.86788,0.47186,1.24731,0.99027,1,0.995,0.82457,0.74214,0.4356,1.03607,0.00146144,0.00146144,0.00146144
138,351.789,0.93316,0.5204,1.27802,0.98881,1,0.995,0.85531,0.72221,0.55059,1.01213,0.00145748,0.00145748,0.00145748
139,354.428,0.929,0.52048,1.25027,0.99108,1,0.995,0.86676,0.65589,0.34844,0.97409,0.00145352,0.00145352,0.00145352
140,357.144,0.8378,0.48162,1.2331,0.99135,1,0.995,0.88018,0.65536,0.33129,0.97042,0.00144956,0.00144956,0.00144956
141,359.723,0.80111,0.45527,1.19968,0.99096,1,0.995,0.86322,0.7316,0.37248,1.01566,0.0014456,0.0014456,0.0014456
142,362.314,0.83157,0.43591,1.22967,0.9902,1,0.995,0.83792,0.82164,0.40001,1.06725,0.00144164,0.00144164,0.00144164
